,sample_0_costs,sample_0_cuts,sample_1_costs,sample_1_cuts,sample_2_costs,sample_2_cuts
0,1.7798470412640754,0,1.6555356545759439,7,1.755574569544048,7
1,1.7798470412640754,0,1.6555356545759439,7,1.755574569544048,7
2,1.9004570901331244,7,1.7589132416462163,12,1.8328576371572987,7
3,1.7799016745437053,0,1.6601543892837063,7,1.7101496160477072,12
4,1.7798470412640754,0,1.6555356545759439,7,1.7101496160477072,12
5,1.71569123138086,7,1.5998997777815793,7,1.7975263874137855,6
6,1.6745373609076937,3,1.5774309440323688,11,1.6992622593330735,11
7,1.6745373609076926,3,1.5774309440323688,11,1.6992622593330744,11
8,1.4730384448722444,14,1.8058089169170308,5,1.7631586280537541,8
9,1.7563190786808978,9,1.542170244051245,11,1.8684130969061221,7
10,1.4730384448722444,14,1.5421702440512424,11,1.6992622593330744,11
11,1.5656100229706158,14,1.6829557835275912,6,1.7814054569521987,6
12,1.6679953543409554,10,1.7754639338153948,7,1.7799325711808391,11
13,1.6922813288596226,9,1.6292521108380669,12,1.8312712468552217,6
14,1.4686876546427416,14,1.6224393733391578,6,1.6448779404600784,11
15,1.6411040566116906,7,1.6381064508847334,12,1.7919068980652446,7
16,1.6358638605064408,7,1.5609546433673163,7,1.7448065317098007,13
17,1.5155726344392806,16,1.681031490298818,11,1.7534217044654001,8
18,1.4506084639621668,10,1.7720861101872374,9,1.9356530535758651,7
19,1.6677607394658707,7,1.6583375464179688,4,2.0868770484539434,7
20,1.4314660812147095,10,1.7948937660960036,5,1.8792054475404616,0
21,1.6306561418944683,10,1.5247205927268301,10,1.9978186577349193,8
22,1.3482352648662779,16,1.6650686371481136,4,1.8235474012547537,11
23,1.6060021475833268,11,1.630060463069048,10,1.5388523467331656,11
24,1.524391039944631,11,1.7705977443590195,5,1.8285088549668473,0
25,1.3147051057782395,13,1.373044196623595,10,1.7657774743306809,9
26,1.4898199068315432,14,1.307979003556256,17,1.5276307413671204,6
27,1.532911013386589,12,1.4168062091685747,14,1.7964612989422917,9
28,1.3909591659469585,11,1.3914103567780416,11,1.9366356963961815,6
29,1.541540818057252,11,1.3998969020461445,9,1.3375626379498602,17
30,1.6411472252305819,13,1.6894138525280475,9,1.3250386575720716,14
31,1.3980826801496817,16,1.478168545842095,10,1.2966875471510682,11
32,1.5121605344876718,13,1.3103356685761949,14,1.4452345634791368,5
33,1.379254480484901,17,1.4684899216251075,10,1.630578981989311,11
34,1.5381290588670107,11,1.4995305128595389,12,1.4535879402955347,12
35,1.492828612673944,6,1.526325516248895,13,1.3470804539044237,16
36,1.6990749119292112,7,1.4279813424727237,14,1.4913105243191742,11
37,1.523524818481705,6,1.3167105596964397,17,1.2053950678707201,11
38,1.6427489371417199,7,1.7488783630237816,7,1.5346084353376943,6
39,1.3147051057782395,13,1.307979003556256,17,1.2053950678707201,11
40,1.3761969072718208,13,1.332979941822488,14,1.1944230722422056,17
41,1.5237456018242506,13,1.2920535540818705,18,1.4881949678359667,10
42,1.3147051057782395,13,1.2920535540818705,18,1.1944230722422056,17
43,1.3844727767145002,13,1.3290101736565583,18,1.298609223006246,11
44,1.5623851481652216,11,1.5279774174419227,12,1.3584449636694091,10
45,1.3147051057782395,13,1.2920535540818705,18,1.1944230722422056,17
46,1.3619067084584129,13,1.2754217018749978,13,1.1856605668314915,17
47,1.4957956833624724,13,1.236033185534782,17,1.5251864889511535,12
48,1.3147051057782395,13,1.236033185534782,17,1.1856605668314915,17
49,1.1990925655732563,20,1.2528018267923908,17,1.446174027936601,10
50,1.5177455576608017,6,1.2360331855347835,17,1.1856605668314915,17
51,1.2885577358017146,17,1.2618162015448058,18,1.3855648611682752,15
52,1.2823796522106332,13,1.232834630968722,17,1.3849763225915532,16
53,1.1990925655732563,20,1.2915531871958117,12,1.3029449561909006,11
54,1.136465949014684,20,1.232834630968722,17,1.172050052083285,17
55,1.1259362448842516,20,1.3270986577697388,12,1.424082381148671,11
56,1.2109333906064794,16,1.232834630968722,17,1.172050052083285,17
57,1.1259362448842516,20,1.6827037058418104,7,1.4169566744739377,11
58,1.4109727718169103,5,1.2321192477083491,17,1.2860049885779758,11
59,1.2118821849553798,16,1.4054014600892295,7,1.2360829045291262,14
60,1.2987142995638241,14,1.2321192477083478,17,1.1720500520832842,17
61,1.3031075364307005,10,1.3314279923321344,12,1.2555808197097678,11
62,1.2853006570106253,10,1.2836210554372907,17,1.1720500520832855,17
63,1.1383333790842958,16,1.313712495118909,12,1.558948550139533,6
64,1.2563292790899325,17,1.266757537125149,17,1.196917495513854,11
65,1.226069893438371,16,1.3496136119744222,12,1.3836694354741959,10
66,1.282158844035488,16,1.2226779335093005,17,1.1258821319084666,20
67,1.1090958868535006,20,1.2676976013455663,14,1.3266510874392823,13
68,1.3048387168412592,16,1.31553127868558,14,1.191187655698605,20
69,1.0767075387503984,20,1.4284248651372369,12,1.3851120468354212,14
70,1.4238958150609544,14,1.160795517814424,17,1.223612704945828,20
71,1.072712055755083,20,1.3910190290521864,14,1.3416251044580458,15
72,1.3714040027154255,14,1.1625357232385052,17,1.1489447765337744,20
73,1.146989024869371,17,1.400540650127184,15,1.3239336575724348,11
74,1.234818026009327,17,1.2116070224345945,17,1.077835991598448,20
75,1.099537880853325,20,1.6190319584412354,12,1.353840925615768,11
76,1.3155324102896855,20,1.103944501647375,17,1.1039926062596646,14
77,1.1127839434936784,20,1.1649515080610353,17,1.4205052061894656,12
78,1.290076889033928,17,1.1272591511123067,17,1.3002984134598696,14
79,1.0977590674649467,20,1.4466744063150208,14,1.1357949784320662,20
80,1.181752649738629,13,1.0930224855850974,17,1.1599870752678811,17
81,1.214768655599316,17,1.3951652868442943,15,1.2508404843619174,17
82,1.2776829057012549,16,1.0812597936722699,19,1.080300660499533,17
83,1.131302342938392,17,1.386844079806634,10,1.3969334151520139,11
84,1.0803098922267822,20,1.0831094231662763,19,1.0745980956806325,20
85,1.0563067641415798,17,1.2474284395195596,15,1.4308172148703824,14
86,1.1096076391056573,17,1.0822949288874844,19,1.1131544042982664,20
87,1.174656202452116,17,1.383908700461002,12,1.2575550949566863,14
88,1.043562420949203,17,1.081259793672268,19,1.1742052871341422,14
89,1.0637359689491779,17,1.2033614739927243,19,1.3931655016293016,11
90,1.0611634403035581,17,1.116170665772132,18,1.164901731211631,11
91,1.1155758460341298,17,1.168495341398098,15,1.1691554436064417,17
92,1.070131807791524,17,1.1240781049156878,18,1.1693716297635353,14
93,1.0796772548455011,17,1.142995577923555,19,1.1698085268110383,17
94,1.1162261207824162,17,1.0812597936722699,19,1.1543656236693278,11
95,1.0776239301115955,13,1.2128729668352096,18,1.13867480699356,17
96,1.043562420949203,17,1.081259793672268,19,1.1899297140643947,14
97,1.0729344395560363,17,1.0698888833976568,19,1.074598095680632,20
98,1.043562420949203,17,1.108300775537833,19,1.0637978896975775,20
99,1.127047058331106,17,1.1855005811059154,16,1.0651321537201988,20
100,1.0700746946772515,17,1.1157705781209057,19,1.0607396186609814,20
101,1.0422485752396475,17,1.2606626075761362,12,1.0565565694921963,20
102,1.0422485752396493,17,1.094388590381343,17,1.1367578611760605,20
103,1.0223543039157434,20,1.2315886966798242,12,1.1004391749045759,20
104,1.0307763464351571,20,1.1292107187419256,19,1.1730797270008329,20
105,1.0737192750048183,20,1.1458761989213455,16,1.0494045688161022,20
106,1.0425456134780928,20,1.119374138314263,19,1.1352622151022544,17
107,1.0268130987669757,20,1.0607824150493228,18,1.0349024975647423,17
108,1.022694096944711,18,1.1142377449063783,18,1.1530733782240081,17
109,1.1450080017098332,17,1.325327404780265,18,1.0442458204899632,17
110,1.0246830994118208,20,1.0607824150493228,18,1.0318039503329157,17
111,1.0624846474907257,17,1.2419808688813847,16,1.056058985661198,17
112,1.0717119686918088,20,1.0607824150493228,18,1.090100117251564,17
113,1.145567142220356,18,1.0464929995087222,19,1.0346134618921827,17
114,1.0232352552251383,20,1.1208666987706826,19,1.1242106429519654,17
115,0.9848702596337146,20,1.1962579425921904,18,1.023604884648045,17
116,1.0074003021602795,18,1.068699104520588,19,1.035706591777633,20
117,1.0524250372394592,13,1.5830528927095036,7,1.0140092768988027,20
118,1.0373287254756216,18,1.0464929995087222,19,1.198526109611082,17
119,1.104463209807007,18,1.1723218824869293,14,1.0320514006303765,20
120,0.9832850857378885,20,1.0464929995087222,19,1.1272762735372106,17
121,1.0182182203870729,18,1.5453081880053456,11,1.0300236244740764,20
122,0.992556863684109,20,1.0334399747224052,18,1.0299567401022387,17
123,1.0476663072952654,20,1.1121344061673812,18,1.012191637298687,17
124,1.008993567987623,20,1.033439974722409,18,1.089660700817354,20
125,1.076882413841893,20,1.1873366709145305,18,1.0597714584627018,17
126,1.0127730172813978,20,0.992151189033966,19,1.076699484861302,17
127,1.0191179547990634,20,2.111338924249993,12,1.0522415666045766,20
128,0.9554972209592768,20,0.9957047270641336,20,1.0173559353042867,20
129,1.0094966467786475,18,1.3231389724360119,14,1.0199124931780652,17
130,0.9455107147892187,20,1.1852991744604322,17,1.0569948606537736,17
131,0.9633954284195503,20,1.1199185951897224,18,1.0307951082533182,20
132,0.9681207799910275,20,1.0136256457022212,19,1.058509850301388,17
133,0.9430443570049587,20,1.3826653001056668,11,1.0286138380449132,20
134,0.9728877103743094,20,1.0972060111487478,18,1.0816234662700923,20
135,1.0059418156730127,18,1.123967557152332,15,1.0474138907716244,17
