,sample_0_costs,sample_0_cuts,sample_1_costs,sample_1_cuts,sample_2_costs,sample_2_cuts
0,0.5867139094650583,17.0,0.3696176770659405,14.0,0.46895676276732917,14
1,0.5867139094650582,17.0,0.3696176770659405,14.0,0.4689567627673294,14
2,0.8767681742506293,12.0,0.6240406886250726,13.0,0.6821705536424754,14
3,0.666042545058156,18.0,0.36749375554066105,17.0,0.8630069394868274,12
4,0.5867139094650583,17.0,0.36749375554066144,17.0,0.46895676276732917,14
5,0.4316005934225451,19.0,0.3999991632593157,10.0,0.46816937498776307,16
6,0.37557429358119016,17.0,0.3583306390486588,17.0,0.6078554592740046,13
7,0.37557429358119016,17.0,0.3583306390486588,17.0,0.4681693749877625,16
8,0.4037843273630068,19.0,0.3694343930278399,17.0,0.6561091106598756,15
9,0.39298141884773397,18.0,0.34246435890246146,18.0,0.5646956331964149,16
10,0.37557429358119016,17.0,0.34246435890246146,18.0,0.4681693749877634,16
11,0.3804127036424285,13.0,0.31477714236800663,17.0,0.3672289616491745,18
12,0.37942401592815195,17.0,0.372255708915662,15.0,0.39885954786373956,17
13,0.513698297224083,19.0,0.28404653931695584,22.0,0.4897105962121419,18
14,0.33736733923543577,18.0,0.5089641802858582,20.0,0.387074486566863,18
15,0.4667295180221398,15.0,0.3118512911849875,18.0,0.4336060578929832,19
16,0.3283957848280791,17.0,0.3620738311500683,22.0,0.5405730046464623,18
17,0.361517496926193,16.0,0.3140979573399698,19.0,0.5351773933716735,17
18,0.3363381962360836,20.0,0.3529012471935358,15.0,0.4098107191874512,13
19,0.4569634093894308,16.0,0.38189770019962577,15.0,0.3835527216257145,16
20,0.48574619269520747,19.0,0.29558118638835257,23.0,0.45713711660796624,17
21,0.4804186971509223,17.0,0.3367052636632979,19.0,0.4739995871338759,17
22,0.29580120574461255,21.0,0.29864224291870417,20.0,0.3217176729330798,19
23,0.4080015015803181,21.0,0.4078347725586577,20.0,0.32831607176806404,18
24,0.3427566132338126,15.0,0.35308099120536185,15.0,0.38916795808946325,16
25,0.36804839578127885,19.0,0.34935962043396435,22.0,0.4087205569704363,14
26,0.3968909986326272,16.0,0.5423779709285567,21.0,0.4361222645247388,17
27,0.3594252864412077,18.0,0.4614210420595919,17.0,0.4609597415961034,16
28,0.4254467120729235,18.0,0.39573982254088597,19.0,0.37557400500006244,19
29,0.3330142917656427,21.0,0.32632733672838493,15.0,0.3560351935203646,18
30,0.34464195238350953,18.0,0.38364565721285354,21.0,0.37606097167745706,19
31,0.3883214191300489,21.0,0.39654452375572985,17.0,0.45361910373307357,16
32,0.42747954637868,17.0,0.4011832296783166,19.0,0.41264200769131437,16
33,0.39469308995449265,19.0,0.39147846776240935,18.0,0.31753085792160746,18
34,0.4039598090972246,21.0,0.396154408015721,19.0,0.34643561517525984,15
35,0.41961395971478477,11.0,0.283873354612215,21.0,0.3483717472808273,18
36,0.31549278846822115,18.0,0.3155843757905349,22.0,0.3025594069096128,23
37,0.41752424887861034,20.0,0.4082149479100615,18.0,0.2986754835628494,20
38,0.35651310630748284,19.0,0.5115033278161114,18.0,0.3725178261752296,17
39,0.29580120574461166,21.0,0.283873354612215,21.0,0.2986754835628494,20
40,0.4448134021757656,16.0,0.3011699193074129,20.0,0.331966725214129,17
41,0.5734000728870003,18.0,0.5350651011351704,17.0,0.32847309556238524,20
42,0.2958012057446122,21.0,0.283873354612215,21.0,0.2986754835628494,20
43,0.4465369361779169,18.0,0.35969786263969744,19.0,0.3737191269978721,16
44,0.626001080319763,12.0,0.451329350590335,15.0,0.2987306422414758,20
45,0.295801205744612,21.0,0.283873354612215,21.0,0.2986754835628494,20
46,0.31549070353834785,21.0,0.35205310055955413,20.0,0.33735931353228366,17
47,0.31851439955005495,21.0,0.3722316203017782,21.0,0.4895296833630524,13
48,0.29580120574461166,21.0,0.283873354612215,21.0,0.2986754835628494,20
49,0.34339326652585167,16.0,0.3397414703322784,21.0,0.3363943608792136,19
50,0.29580120574461255,21.0,0.283873354612215,21.0,0.2986754835628495,20
51,0.5163522528156105,17.0,0.35856733323418477,22.0,0.39933169838772503,24
52,0.29580120574461255,21.0,0.31860444488347756,22.0,0.2986754835628492,20
53,0.29715376598170345,21.0,0.3303349240318708,22.0,0.32926481937707663,18
54,0.29237406658968856,22.0,0.28387335461221497,21.0,0.3182654224783275,20
55,0.42279381308989983,15.0,0.3935828739464208,21.0,0.3607463968919444,17
56,0.2923740665896885,22.0,0.2813662596550172,22.0,0.29867548356284945,20
57,0.5294537527841252,18.0,0.3880542292007926,17.0,0.31019039048382013,20
58,0.30336723292187495,22.0,0.2813662596550172,22.0,0.2986754835628494,20
59,0.5317643281147185,20.0,0.3339617202514521,22.0,0.3372859983374973,17
60,0.2983754455125891,22.0,0.2813662596550172,22.0,0.29798421510158496,23
61,0.37966919372244295,15.0,0.3440467174843263,19.0,0.32080616485480284,15
62,0.2923740665896884,22.0,0.33501976561983354,22.0,0.33126921460241915,20
63,0.3758446969586789,20.0,0.3481986827401319,22.0,0.4959774536336608,16
64,0.27947147431052977,22.0,0.30530658795617976,21.0,0.32283568397582024,20
65,0.432042310753407,18.0,0.3791872584349395,19.0,0.44540009134907743,15
66,0.2873999482149286,22.0,0.4029960055823518,18.0,0.3122921444268143,23
67,0.2907970466646195,21.0,0.2812056183598929,22.0,0.3252967922433932,18
68,0.3316192725075281,21.0,0.2755726801405211,19.0,0.34359005864275743,17
69,0.3151562619116982,22.0,0.2763317183892176,19.0,0.31044083045364723,19
70,0.3415192814839349,19.0,0.31567400760235814,20.0,0.32380529793951107,18
71,0.3880842884099285,19.0,0.2833995108309519,19.0,0.29524719355470624,24
72,0.35753950488545694,21.0,0.31771298502976153,17.0,0.2833015209031258,22
73,0.28436225816222976,19.0,0.283679953609836,19.0,0.30763621314119755,20
74,0.2922390108709686,18.0,0.3155580133117014,18.0,0.3152704662290346,17
75,0.2873802149496133,21.0,0.28565111229328904,19.0,0.29548238684099115,20
76,0.3114191411312356,21.0,0.30838212844748963,22.0,0.31103965971297715,21
77,0.2862375218477238,20.0,0.2702363309858841,23.0,0.3847334981031952,11
78,0.3228619698654212,21.0,0.2973793918435505,22.0,0.28333749661008484,22
79,0.2746314178373218,22.0,0.27538598526603797,21.0,0.28184668646130273,22
80,0.302833876789054,19.0,0.3351649158561826,21.0,0.25039096794660326,22
81,0.27169243352383826,22.0,0.27468199157020906,22.0,0.3769842136003486,15
82,0.27042346164658876,22.0,0.2659697444466145,22.0,0.2854039616196939,18
83,0.295771266506156,22.0,0.26211849784022717,22.0,0.3644690958917462,18
84,0.29743696900712124,22.0,0.27683870593701104,22.0,0.32032891795571106,22
85,0.2832057981371934,22.0,0.29052130525418235,22.0,0.49295580965957886,15
86,0.31099887780046326,22.0,0.34122858036226644,22.0,0.29881054231428356,21
87,0.2664906242837943,22.0,0.2870034738748455,23.0,0.47438129596269385,16
88,0.2940011228435598,22.0,0.4089492589161244,21.0,0.2699501907922019,22
89,0.27163456902315086,22.0,0.26494402893938135,22.0,0.24841682976370472,23
90,0.30073113892300113,22.0,0.2904059979151645,23.0,0.29339811090567786,21
91,0.26427572844963154,22.0,0.2652677276650876,23.0,0.5260851046141886,23
92,0.31297328534936886,20.0,0.34649314166879236,22.0,0.25726593075624093,20
93,0.2760382760133682,21.0,0.26840740524406786,22.0,0.29233173130377865,16
94,0.28432618189858805,21.0,0.26176193238112405,23.0,0.27380783521214097,21
95,0.265778117227584,22.0,0.27030012918297075,22.0,0.27980380369295565,22
96,0.27509585656204993,21.0,0.29002614634543594,22.0,0.2737181229847759,23
97,0.2543058213515479,24.0,0.26930464967328765,22.0,0.34372612923054024,19
98,0.314777798401809,23.0,0.24600670017680426,23.0,0.2566703665901141,22
99,0.2513602032806028,24.0,0.24203578061158262,23.0,0.24807859366801546,25
100,0.2828735251482635,20.0,0.2694601027393558,23.0,0.24807859366801546,25
101,0.2542894031751958,24.0,0.24008434684995816,23.0,0.2923023009985705,20
102,0.30043941954241266,21.0,0.2926072567453848,21.0,0.24807859366801546,25
103,0.24917691327704983,24.0,0.23614360394525305,23.0,0.36487388568175366,20
104,0.29010873678477866,21.0,0.24269336034930214,22.0,0.24807859366801546,25
105,0.24712993133459063,24.0,0.23435045387614326,23.0,0.3264753631416032,19
106,0.265835742227897,23.0,0.26047105784727587,23.0,0.24807859366801546,25
107,0.24564867504254528,24.0,0.21734478223237605,26.0,0.4545068919994308,16
108,0.2798073106225425,23.0,0.2549729529332748,24.0,0.316883226379503,22
109,0.2444217065569527,24.0,0.21734478223237638,26.0,0.33748037292583266,21
110,0.32127088401642573,19.0,0.3033221018748783,24.0,0.24807859366801477,25
111,0.24916574643020784,24.0,0.2337225212702077,26.0,0.5212852320515153,21
112,0.28672796850855914,22.0,0.23242798757361263,24.0,0.24807859366801477,25
113,0.24460788489976232,24.0,0.2190129811184122,26.0,0.3376374474602174,16
114,0.2564173800382912,22.0,0.2522461175132183,24.0,0.24807859366801507,25
115,0.24442170655695222,24.0,0.2173447822323756,26.0,0.38155190695861313,19
116,0.2686365116383591,24.0,0.28091016102842614,24.0,0.2480785936680153,25
117,0.2437132077277521,23.0,0.21734478223237544,26.0,0.28444050907431406,22
118,0.31434374101843865,19.0,0.25290854726490064,22.0,0.24565943291115028,25
119,0.2659697065953137,23.0,0.21836435023484577,26.0,0.23025032356250835,26
120,0.27966670053544485,22.0,0.27469740588316427,23.0,0.22611382817503173,26
121,0.24574526417868853,24.0,0.24126595897435274,21.0,0.29774324069579633,19
122,0.29910449288749913,24.0,0.283910033887894,21.0,0.2471652163104061,26
123,0.2452954894321548,24.0,0.2335160953510223,23.0,0.3285386158506219,21
124,0.2519759556588144,23.0,0.2873867028942786,26.0,0.2976689897024895,22
125,0.2506383004983137,21.0,0.2165183680663722,24.0,0.34256519819311526,23
126,0.26201088064148575,24.0,0.2576039586890733,25.0,0.30387624631982163,25
127,0.23203397046891638,23.0,0.2316877936436662,24.0,0.49446838570495616,16
128,0.25984359235898646,24.0,0.2505952936560479,25.0,0.22546949272358774,26
129,0.24098051368079593,23.0,0.2162458556194551,25.0,0.42209271187149566,16
130,0.2623452207396917,22.0,0.23121997694366564,25.0,0.2888115384975501,20
131,0.24253930068964333,24.0,0.2300609478936687,24.0,0.3861347631550188,18
132,0.25703082606719396,22.0,0.2998141520135958,24.0,0.250855049574146,21
133,0.256755785714691,22.0,0.2258711728177821,25.0,0.30731363797846734,21
