,sample_0_costs,sample_0_cuts,sample_1_costs,sample_1_cuts,sample_2_costs,sample_2_cuts
0,2.936665345668694,8,2.53347621818316,10,2.7449500529597297,9
1,2.936665345668694,8,2.53347621818316,10,2.7449500529597297,9
2,2.6980066403918963,8,2.510875528158414,15,3.1508208922364433,8
3,2.7023457349370865,8,2.4990120662437727,15,2.444731782108422,13
4,2.6980066403918963,8,2.4990120662437727,15,2.4447317821084242,13
5,2.65620215982133,9,2.5283703501385077,18,2.4927943096665732,5
6,2.6737082444473033,3,2.686102674185277,14,2.502393661163397,9
7,2.6562021598213286,9,2.4990120662437727,15,2.4447317821084242,13
8,2.6830256045172036,6,2.759351497159196,4,2.531315215503584,14
9,2.656124948493491,4,2.4775698902444256,15,2.495313048497162,13
10,2.656124948493491,4,2.4775698902444256,15,2.4447317821084242,13
11,2.5610734403073736,11,2.54944255988372,13,2.642283574385611,9
12,2.5945110806123663,11,2.401750522251812,13,2.7593039313147,8
13,2.4474423710912503,13,2.4251818017323057,16,2.7010974154227454,10
14,2.3133472745732533,18,2.4449872766291114,11,2.605876799268855,5
15,2.285600635291062,12,2.4748073659380685,13,2.4868257695717273,5
16,2.500532344887823,16,2.401627528517884,11,2.6691156328201107,8
17,2.2509335394293766,19,2.2161613915587264,15,2.579749284159003,10
18,2.4467661978768955,14,2.3071723948864484,9,2.663638027724842,8
19,2.432979151118295,20,2.577369722069451,15,2.6788761942327346,8
20,2.3337565328103143,7,2.5679109319809554,12,2.7151058989777885,9
21,2.218707025228602,19,2.1561838230372143,17,2.4314785466418987,9
22,2.2038160116760195,9,2.322607918665991,9,2.6147830282607605,6
23,2.2875366511562456,9,2.3582454258309338,15,2.5991566918560887,5
24,2.2325590655948444,14,2.2384182349273076,15,2.526481571514672,4
25,2.2989098340313188,13,2.5106417744637977,11,2.467986720879473,10
26,2.4374125743946706,9,2.380298227060411,11,2.776315840637488,10
27,2.3533404180731714,19,2.4172709528042318,11,2.6902188191424674,12
28,2.514212164876183,0,2.2681929246781403,19,2.422173758081369,14
29,2.4780432884417483,9,2.388885269980422,18,2.71007371131442,9
30,2.5076517637766496,0,2.392538401803639,19,2.6797187729279313,14
31,2.4702472852729627,9,2.50302633975157,7,2.306054291540754,18
32,2.303548766510119,9,2.3286783171500325,9,2.502370147924444,12
33,2.220905621014934,14,2.0589888642870524,22,2.498228525585711,12
34,2.4444228062413433,0,2.155101056574388,19,2.2791380803881207,14
35,2.3095202100727716,9,2.1665692758144663,19,2.5139637349946633,14
36,2.185273877900333,14,2.1013980724672163,15,2.2648413793118634,18
