,sample_0_costs,sample_0_cuts,sample_1_costs,sample_1_cuts,sample_2_costs,sample_2_cuts
0,0.8293673366754408,64,0.520600469772512,66,0.4993336786564114,66
1,0.8293673366754417,64,0.5206004697725117,66,0.4993336786564114,66
2,0.6232356421578676,60,0.4888191683330288,66,0.3842321526119991,63
3,0.6523046687578614,62,0.491762949335184,66,0.39694276845151,63
4,0.6232356421578676,60,0.4888191683330288,66,0.3842321526119991,63
5,0.6016911121258162,63,0.6101411676862949,61,0.4894458291948544,65
6,0.9993305539018553,70,0.5120849868992322,68,0.42366990450771497,62
7,0.601691112125816,63,0.4888191683330288,66,0.3842321526119991,63
8,0.8283952686058649,61,0.809960662484828,53,0.390218137839338,64
9,0.7163098247654572,69,0.5375226136963563,66,0.34793060755520955,69
10,0.6016911121258158,63,0.4888191683330288,66,0.34793060755520955,69
11,0.5022924920187329,69,0.46973387587453563,69,0.37140037755725175,66
12,0.5246784279169847,67,0.5796742203046592,69,0.34351840990876276,71
13,0.5022924920187329,69,0.4697338758745345,69,0.3435184099087628,71
14,0.588713036461168,67,0.473598657521603,69,0.38212755310979757,63
15,0.5174079828036432,67,0.4907392971814373,72,0.4316207079747344,63
16,0.4834679223723329,70,0.4470889464151538,69,0.349647821464505,69
17,0.42936194117367393,67,0.37021883809124523,69,0.35236604679841865,68
18,0.42936194117367393,67,0.37021883809124523,69,0.34351840990876276,71
19,0.4094088705651189,69,0.544876693115589,59,0.3552062952881329,69
20,0.5222320733035999,67,0.37703955501855496,70,0.39920352863679354,66
21,0.4094088705651189,69,0.37021883809124523,69,0.3435184099087628,71
22,0.4648550402655371,67,0.42185777702979493,74,0.34925504154733045,71
23,0.4185183028845645,64,0.4345582024377065,64,0.44613390152228033,57
24,0.40940887056511843,69,0.37021883809124523,69,0.34351840990876276,71
25,0.47494299132858675,66,0.500763801260229,58,0.34996426864615393,70
26,0.5028888170144319,64,0.40742811446974425,65,0.35313866539330324,69
27,0.4094088705651189,69,0.37021883809124523,69,0.34351840990876276,71
28,0.383306818303377,73,0.3714642500666906,64,0.3657330743263669,72
29,0.3645848227282256,66,0.45863767082632523,69,0.32719381308775175,74
30,0.3645848227282256,66,0.37021883809124523,69,0.32719381308775175,74
31,0.3629887908157902,67,0.38210683403059487,64,0.3865569366923116,71
32,0.3629887908157902,67,0.37021883809124523,69,0.3271938130877513,74
33,0.3804886319006104,58,0.3759484562941629,65,0.3836405375456648,74
34,0.3687334058561317,68,0.3738862215564553,69,0.3376683826946484,76
35,0.3935735211811323,68,0.34849255045311,68,0.33870965346111725,70
36,0.36298879081578955,67,0.34030361623952726,69,0.3307060775886042,75
37,0.3828968407662987,58,0.4638935049576585,65,0.3271938130877513,74
38,0.4093961278405025,61,0.3365316842874511,78,0.33700340235548953,70
39,0.3474227049608674,68,0.34965037497343526,69,0.3271938130877513,74
40,0.3474227049608674,68,0.3365316842874511,78,0.32601889902349646,71
41,0.36300308411479976,68,0.43127651461771044,61,0.3291829868381573,73
42,0.3500061306056998,65,0.3365316842874511,78,0.34752259444440753,75
43,0.36019340459026994,71,0.3924281915237614,71,0.3260188990234969,71
44,0.34674020150254437,68,0.3365316842874511,78,0.35150699511894057,70
45,0.33007956186204657,67,0.39362469404800576,66,0.332572060093961,73
46,0.3340043630821528,74,0.3963095470975561,74,0.34639884342297533,74
47,0.3521890971745806,71,0.43159462639469515,63,0.325950986488882,71
48,0.33007956186204657,67,0.3602954195078436,72,0.3274158893763623,71
49,0.3606087640330713,66,0.35699048332886746,69,0.3239694612985434,70
50,0.33007956186204657,67,0.35048440320929114,70,0.3373763682357044,64
51,0.330181384499038,67,0.33759414208006644,75,0.32177354958780024,73
52,0.3305040235113912,67,0.3636328508381752,72,0.336549228238004,70
53,0.35448665821488984,68,0.3354965738314455,78,0.3252864058109784,72
54,0.32738348140711054,73,0.3542348320347314,74,0.33034211611969244,69
55,0.35269125546099145,72,0.3479660513336787,75,0.3222611996640455,71
56,0.3273834814071105,73,0.3378005890481862,72,0.3235868680678567,70
57,0.344369879159262,72,0.3365774467384868,71,0.32177354958780024,73
58,0.3273834814071105,73,0.34632125577384165,69,0.3219853904899689,70
59,0.3512885746933092,73,0.3412546660209788,73,0.32177354958780024,73
60,0.3273834814071105,73,0.37513390294028837,70,0.3270487094669717,70
